2
3,3,4
0,0,0,0
69.33,22.05,0,70.89
0,0,0,0
71.95,0,0,0
41.64,0,23.47,28.93
67.73,0,0,0
0,0,33.31,0
1.92,0,47.67,0
0,94.71,24.62,0
7,5,6
70.26,20.91,45.92,52.25,54.55,62.78
31.93,73.24,79.67,7.65,90.35,13.28
59.07,38.22,64.00,79.06,76.54,24.79
46.64,8.04,24.30,18.86,77.09,98.87
70.94,91.89,80.49,63.34,72.44,82.05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,69.33,22.05,0,70.89,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,71.95,0,0,0,0
0,41.64,0,23.47,28.93,0
0,67.73,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,33.31,0,0
0,1.92,0,47.67,0,0
0,0,94.71,24.62,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
70.50,37.96,5.14,72.08,30.61,1.69
9.91,25.47,44.90,14.91,99.73,19.65
46.76,57.85,2.34,56.66,71.04,41.84
22.77,84.80,12.64,67.51,55.61,74.38
21.87,89.54,8.02,81.14,3.71,16.14
